t,abad_deg,mcp_deg,pip_deg
2.015000,-30.488503,29.205445,14.025928
2.020000,-30.488537,29.247492,13.457753
2.025000,-30.488571,29.288695,12.903478
2.030000,-30.488602,29.329061,12.363244
2.035000,-30.488633,29.368608,11.837207
2.040000,-30.488663,29.407349,11.325470
2.045000,-30.488694,29.445301,10.828150
2.050000,-30.488725,29.482481,10.345315
2.055000,-30.488756,29.518903,9.877050
2.060000,-30.488786,29.554580,9.423393
2.065000,-30.488817,29.589534,8.984401
2.070000,-30.488844,29.623774,8.560086
2.075000,-30.488872,29.657317,8.150478
2.080000,-30.488899,29.690177,7.755561
2.085000,-30.488926,29.722367,7.375347
2.090000,-30.488954,29.753902,7.009802
2.095000,-30.488981,29.784795,6.658922
2.100000,-30.489008,29.815060,6.322663
2.105000,-30.489036,29.844706,6.001000
2.110000,-30.489059,29.873748,5.693871
2.115000,-30.489083,29.902199,5.401242
2.120000,-30.489107,29.930073,5.123044
2.125000,-30.489131,29.957380,4.859231
2.130000,-30.489155,29.984131,4.609730
2.135000,-30.489179,30.010338,4.374484
2.140000,-30.489203,30.036013,4.153407
2.145000,-30.489227,30.061165,3.946441
2.150000,-30.489247,30.085805,3.753499
2.155000,-30.489268,30.109943,3.574516
2.160000,-30.489288,30.133593,3.409397
2.165000,-30.489309,30.156754,3.258118
2.170000,-30.489329,30.179447,3.120552
2.175000,-30.489350,30.201683,2.996615
2.180000,-30.489370,30.223468,2.886203
2.185000,-30.489391,30.244808,2.789230
2.190000,-30.489408,30.265716,2.705586
2.195000,-30.489425,30.286199,2.635190
2.200000,-30.489442,30.306267,2.577935
2.205000,-30.489459,30.325927,2.533731
2.210000,-30.489476,30.345188,2.502465
2.215000,-30.489493,30.364057,2.484047
2.220000,-30.489510,30.382543,2.478362
2.225000,-30.489527,30.400653,2.485310
2.230000,-30.489544,30.418398,2.504771
2.235000,-30.489558,30.435781,2.536636
2.240000,-30.489572,30.452812,2.580780
2.245000,-30.489585,30.469498,2.637091
2.250000,-30.489599,30.485846,2.705439
2.255000,-30.489613,30.501863,2.785703
2.260000,-30.489626,30.517555,2.877747
2.265000,-30.489640,30.532930,2.981445
2.270000,-30.489654,30.547994,3.096656
2.275000,-30.489667,30.562750,3.223248
2.280000,-30.489681,30.577210,3.361076
2.285000,-30.489695,30.591376,3.509993
2.290000,-30.489705,30.605255,3.669844
2.295000,-30.489715,30.618854,3.840483
2.300000,-30.489725,30.632176,4.021757
2.305000,-30.489736,30.645232,4.213514
2.310000,-30.489746,30.658021,4.415594
2.315000,-30.489756,30.670555,4.627849
2.320000,-30.489766,30.682832,4.850122
2.325000,-30.489777,30.694863,5.082245
2.330000,-30.489787,30.706652,5.324047
2.335000,-30.489797,30.718202,5.575359
2.340000,-30.489807,30.729520,5.836011
2.345000,-30.489818,30.740608,6.105831
2.350000,-30.489828,30.751475,6.384644
2.355000,-30.489835,30.762124,6.672280
2.360000,-30.489842,30.772557,6.968566
2.365000,-30.489848,30.782778,7.273328
2.370000,-30.489855,30.792795,7.586388
2.375000,-30.489862,30.802610,7.907563
2.380000,-30.489869,30.812226,8.236665
2.385000,-30.489876,30.821652,8.573516
2.390000,-30.489882,30.830890,8.917935
2.395000,-30.489889,30.839940,9.269744
2.400000,-30.489896,30.848809,9.628768
2.405000,-30.489903,30.857500,9.994826
2.410000,-30.489910,30.866018,10.367739
2.415000,-30.489913,30.874364,10.747329
2.420000,-30.489917,30.882543,11.133421
2.425000,-30.489920,30.890562,11.525829
2.430000,-30.489923,30.898420,11.924372
2.435000,-30.489927,30.906121,12.328877
2.440000,-30.489930,30.913668,12.739176
2.445000,-30.489934,30.921066,13.155089
2.450000,-30.489937,30.928316,13.576444
2.455000,-30.489941,30.935419,14.003070
2.460000,-30.489944,30.942383,14.434804
2.465000,-30.489947,30.949209,14.871480
2.470000,-30.489951,30.955899,15.312939
2.475000,-30.489951,30.962456,15.759009
2.480000,-30.489951,30.968884,16.209524
2.485000,-30.489951,30.975185,16.664330
2.490000,-30.489951,30.981362,17.123269
2.495000,-30.489951,30.987417,17.586188
2.500000,-30.489951,30.993353,18.052941
2.505000,-30.489951,30.999172,18.523372
2.510000,-30.489951,31.004875,18.997336
2.515000,-30.489951,31.010466,19.474691
2.520000,-30.489951,31.015947,19.955304
2.525000,-30.489947,31.021322,20.439030
2.530000,-30.489944,31.026592,20.925729
2.535000,-30.489941,31.031759,21.415266
2.540000,-30.489937,31.036824,21.907509
2.545000,-30.489934,31.041789,22.402332
2.550000,-30.489930,31.046659,22.899616
2.555000,-30.489927,31.051433,23.399233
2.560000,-30.489923,31.056115,23.901062
2.565000,-30.489920,31.060705,24.404981
2.570000,-30.489913,31.065206,24.910878
2.575000,-30.489906,31.069622,25.418634
